Mean_STATE,January,February,March,April,May,June,July,August,September,October,November,December
Brandenburg,0,0,0.5769230769,0,0,0,0,0.1153846154,0,0,0,0
Berlin,0.08333333333,0,2.5,0,0,0,0,0,0,0,0,0
Baden-WÃ¼rttemberg,0.1315789474,0.1315789474,0.6315789474,0,0,0,0.07894736842,0.02631578947,0,0,0,0
Bavaria,0.05882352941,0,0.2352941176,0,0.02941176471,0,0.02941176471,0,0,0,0,0
Bremen,0,0,1.75,0,0.125,0,0,0,0,0,0,0
Hesse,0,0,0.4285714286,0.02857142857,0,0.02857142857,0,0.05714285714,0,0,0,0
Hamburg,0,0,2.333333333,0,0,0,0,0,0,0,0,0
Mecklenburg-West Pomerania,0.5625,0,2,0,0,0,0,0,0,0,0,0
Lower Saxony,0,0,0.3571428571,0,0.03571428571,0,0,0.03571428571,0,0,0,0
North Rhine-Westphalia,0.6086956522,0.02898550725,1.666666667,0.04347826087,0.08695652174,0,0.07246376812,0.1449275362,0,0.01449275362,0,0
Rhineland-Palatinate,0.05263157895,0,0.8947368421,0,0,0,0.05263157895,0,0,0,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Schleswig-Holstein,0,0,1.8,0,0,0,0,0,0,0,0,0
Saxony,0,0,0.7,0,0.05,0,0,0,0,0,0,0
Saxony-Anhalt,0.04347826087,0,0.6086956522,0.08695652174,0,0.08695652174,0.04347826087,0.04347826087,0.08695652174,0,0,0
Thuringia,0,0,0.6,0,0,0,0.05,0,0,0,0,0